                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.68843,                0.39183,                0.87157,                0.95594,                0.94448,                0.96443,                 0.7593,                0.84234,                0.42668,                0.94544,             0.00042925,             0.00042925,             0.00042925
                     77,                0.68749,                0.39159,                  0.875,                0.94154,                0.96013,                0.96997,                0.76775,                0.84489,                0.42631,                0.94548,             0.00041275,             0.00041275,             0.00041275
                     78,                0.67275,                0.38633,                0.86964,                0.95191,                0.95866,                0.96725,                0.76957,                0.84587,                 0.4215,                0.94759,             0.00039625,             0.00039625,             0.00039625
                     79,                 0.6758,                0.38605,                0.87009,                0.93626,                0.96618,                0.97128,                0.77497,                0.84647,                0.42458,                0.95224,             0.00037974,             0.00037974,             0.00037974
                     80,                0.67551,                 0.3855,                0.87195,                0.94823,                0.94747,                0.97015,                0.77151,                0.84153,                0.42701,                0.95206,             0.00036324,             0.00036324,             0.00036324
                     81,                0.65609,                 0.3776,                0.86801,                0.95039,                 0.9618,                0.97109,                0.77755,                0.84326,                0.42065,                0.94643,             0.00034674,             0.00034674,             0.00034674
                     82,                  0.662,                0.38204,                0.86834,                0.93869,                 0.9641,                0.97289,                0.77851,                0.83881,                0.41941,                0.95141,             0.00033023,             0.00033023,             0.00033023
                     83,                0.66366,                0.37905,                0.86791,                0.93464,                0.95959,                   0.97,                0.77007,                0.84073,                0.42946,                0.94713,             0.00031373,             0.00031373,             0.00031373
                     84,                 0.6521,                0.37021,                0.86526,                0.94328,                0.96367,                0.97096,                0.77215,                0.84086,                0.41446,                0.94816,             0.00029723,             0.00029723,             0.00029723
                     85,                0.65282,                0.37291,                0.86446,                0.93693,                  0.962,                0.96992,                0.77297,                0.84246,                0.42328,                0.95209,             0.00028072,             0.00028072,             0.00028072
                     86,                0.64468,                0.36479,                0.86404,                 0.9445,                0.95574,                0.96957,                0.77256,                0.83889,                  0.424,                0.94487,             0.00026422,             0.00026422,             0.00026422
                     87,                0.64603,                0.36789,                0.86262,                0.94286,                 0.9587,                 0.9695,                0.76635,                0.84519,                0.41916,                0.94719,             0.00024772,             0.00024772,             0.00024772
                     88,                0.63965,                0.36745,                0.86284,                0.94146,                0.95683,                0.97005,                0.77304,                0.84351,                 0.4163,                0.94675,             0.00023121,             0.00023121,             0.00023121
                     89,                0.63366,                 0.3625,                 0.8599,                0.93785,                0.96536,                0.96975,                0.77122,                0.84687,                0.41423,                0.94979,             0.00021471,             0.00021471,             0.00021471
                     90,                0.63275,                0.35825,                0.85985,                0.93443,                0.97096,                0.96865,                0.77385,                0.83756,                0.41476,                0.95143,             0.00019821,             0.00019821,             0.00019821
                     91,                 0.5563,                0.30602,                0.83383,                0.94126,                0.96001,                0.96441,                0.76848,                0.83597,                0.42088,                0.94777,              0.0001817,              0.0001817,              0.0001817
                     92,                0.54574,                0.29993,                0.82956,                0.93614,                 0.9652,                0.96382,                0.77004,                0.83852,                0.42538,                0.94891,              0.0001652,              0.0001652,              0.0001652
                     93,                0.53528,                0.29761,                 0.8276,                0.94333,                0.96333,                0.96496,                0.76938,                0.84374,                0.41958,                0.95342,              0.0001487,              0.0001487,              0.0001487
                     94,                0.52892,                0.29293,                0.82862,                 0.9418,                0.96285,                0.96522,                0.76999,                0.84272,                0.41431,                0.95371,             0.00013219,             0.00013219,             0.00013219
                     95,                 0.5268,                0.29116,                0.82664,                0.93932,                0.96671,                0.96533,                0.77135,                0.84244,                0.41695,                0.95142,             0.00011569,             0.00011569,             0.00011569
                     96,                0.51646,                0.28765,                 0.8248,                0.93831,                 0.9648,                0.96592,                0.77219,                 0.8375,                0.41588,                0.94962,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.51302,                0.28525,                0.82881,                0.94121,                0.96188,                 0.9691,                0.77626,                0.83741,                0.41772,                0.94889,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.51075,                0.28387,                0.82441,                0.93772,                0.96611,                0.96901,                0.77357,                0.83771,                0.41608,                0.95011,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.51243,                0.28393,                0.82868,                0.94098,                0.96597,                0.96906,                0.77501,                0.84275,                0.41598,                0.95218,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 0.5066,                0.28275,                0.82518,                0.93875,                0.96453,                0.96807,                0.77394,                0.84008,                0.41827,                0.95016,             3.3173e-05,             3.3173e-05,             3.3173e-05
