                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.51586,                 0.2671,                0.83132,                 0.9875,                0.99474,                0.98796,                 0.8965,                0.59013,                0.27228,                0.86187,             0.00079233,             0.00079233,             0.00079233
                     55,                  0.514,                0.26745,                0.82597,                0.99048,                0.99716,                0.98888,                0.89671,                0.58897,                0.27359,                0.86105,             0.00077582,             0.00077582,             0.00077582
                     56,                0.52078,                0.26674,                0.82809,                0.98999,                0.99521,                0.98867,                0.89434,                 0.5964,                0.27843,                0.86363,             0.00075932,             0.00075932,             0.00075932
                     57,                0.50894,                0.26449,                0.82662,                0.99074,                0.99563,                 0.9887,                0.89651,                0.59108,                0.27132,                0.86136,             0.00074282,             0.00074282,             0.00074282
                     58,                0.51525,                0.26402,                0.82915,                0.98907,                0.99496,                0.98891,                0.89369,                0.59798,                0.27665,                0.86469,             0.00072631,             0.00072631,             0.00072631
                     59,                0.51226,                0.26357,                 0.8271,                0.99014,                0.99534,                0.98809,                0.89459,                0.59564,                0.27405,                0.86448,             0.00070981,             0.00070981,             0.00070981
                     60,                 0.5005,                0.26056,                0.82543,                0.98852,                0.99681,                0.98901,                0.90108,                0.58352,                0.27012,                0.85883,             0.00069331,             0.00069331,             0.00069331
                     61,                0.49525,                0.25688,                0.82374,                0.99001,                0.99528,                0.98847,                0.89745,                0.58364,                 0.2679,                 0.8613,              0.0006768,              0.0006768,              0.0006768
                     62,                0.49936,                0.25888,                0.82644,                0.98806,                0.99606,                0.98824,                0.89417,                0.59135,                 0.2771,                0.86097,              0.0006603,              0.0006603,              0.0006603
                     63,                0.50371,                0.26001,                0.82918,                0.98986,                0.99475,                0.98846,                0.90401,                0.58459,                0.27128,                0.85789,              0.0006438,              0.0006438,              0.0006438
                     64,                0.49878,                0.25844,                0.82587,                0.98743,                0.99685,                0.98784,                0.89961,                0.58444,                0.26629,                0.85934,             0.00062729,             0.00062729,             0.00062729
                     65,                0.48185,                0.25095,                0.82045,                0.98881,                0.99574,                0.98884,                0.89823,                0.58352,                0.26711,                0.86075,             0.00061079,             0.00061079,             0.00061079
                     66,                0.49159,                0.25328,                0.82351,                0.98971,                0.99504,                0.98837,                0.89789,                0.58673,                0.26979,                0.86015,             0.00059429,             0.00059429,             0.00059429
                     67,                0.48631,                0.25173,                0.82225,                0.98874,                0.99522,                0.98828,                0.90225,                0.57666,                0.26629,                0.85811,             0.00057778,             0.00057778,             0.00057778
                     68,                0.48416,                0.24924,                 0.8206,                0.98964,                0.99547,                0.98819,                0.89987,                0.58139,                0.26273,                0.86153,             0.00056128,             0.00056128,             0.00056128
                     69,                0.48845,                0.25119,                0.82448,                0.98813,                0.99609,                 0.9885,                0.89943,                0.59268,                0.26605,                0.86469,             0.00054478,             0.00054478,             0.00054478
