epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,42397.9,0.25562,0.13905,0.78985,0.99651,0.99512,0.99344,0.91772,0.41609,0.16092,0.89131,0.002872,0.002872,0.002872
74,42977.7,0.25423,0.13819,0.78958,0.99652,0.99512,0.99345,0.91744,0.41592,0.15986,0.8915,0.002773,0.002773,0.002773
75,43558,0.25138,0.13705,0.78793,0.99646,0.99512,0.99352,0.91748,0.41626,0.15999,0.89175,0.002674,0.002674,0.002674
76,44138.7,0.2499,0.1358,0.78903,0.99645,0.99512,0.99355,0.91739,0.41633,0.1598,0.89188,0.002575,0.002575,0.002575
77,44719,0.24882,0.1352,0.78792,0.99626,0.99665,0.99362,0.91767,0.41632,0.1599,0.89211,0.002476,0.002476,0.002476
78,45299.3,0.24657,0.13399,0.788,0.99761,0.998,0.99426,0.91764,0.41643,0.15954,0.89215,0.002377,0.002377,0.002377
79,45879.7,0.24481,0.13296,0.78761,0.99762,0.998,0.99426,0.9176,0.41655,0.15927,0.8925,0.002278,0.002278,0.002278
80,46460,0.24276,0.13176,0.78661,0.99766,0.998,0.9943,0.91806,0.41659,0.1598,0.89289,0.002179,0.002179,0.002179
81,47041.9,0.24096,0.13041,0.78649,0.99774,0.99801,0.99436,0.91794,0.41653,0.15969,0.89315,0.00208,0.00208,0.00208
82,47622,0.23939,0.13013,0.78628,0.99783,0.99805,0.99438,0.91791,0.41658,0.15912,0.89341,0.001981,0.001981,0.001981
83,48202.3,0.23726,0.12846,0.78586,0.99783,0.99806,0.99439,0.91808,0.4167,0.15908,0.89383,0.001882,0.001882,0.001882
84,48782.2,0.23496,0.12707,0.78502,0.9977,0.998,0.99437,0.91768,0.41671,0.15971,0.89405,0.001783,0.001783,0.001783
85,49362,0.23308,0.12665,0.78539,0.99772,0.998,0.99436,0.91698,0.4168,0.15964,0.89439,0.001684,0.001684,0.001684
86,49942,0.23057,0.12509,0.78502,0.99771,0.998,0.99444,0.91701,0.41702,0.16028,0.89471,0.001585,0.001585,0.001585
87,50522,0.22868,0.12384,0.78391,0.99771,0.998,0.99441,0.91697,0.41699,0.16025,0.89493,0.001486,0.001486,0.001486
88,51102,0.22556,0.12227,0.78324,0.99773,0.998,0.99441,0.91751,0.41696,0.16048,0.89519,0.001387,0.001387,0.001387
89,51681.9,0.22283,0.12025,0.78446,0.99775,0.998,0.99436,0.91791,0.41711,0.16096,0.89546,0.001288,0.001288,0.001288
90,52261.8,0.2224,0.12004,0.78265,0.99773,0.99799,0.99441,0.91729,0.41715,0.16084,0.89577,0.001189,0.001189,0.001189
91,52841.7,0.17486,0.10063,0.77066,0.99775,0.998,0.99437,0.91701,0.41696,0.16093,0.89608,0.00109,0.00109,0.00109
92,53420.6,0.16973,0.09859,0.76803,0.99774,0.998,0.99436,0.91692,0.41713,0.16147,0.89637,0.000991,0.000991,0.000991
93,53999.5,0.16735,0.09745,0.76883,0.99776,0.998,0.99436,0.91718,0.41703,0.16191,0.89668,0.000892,0.000892,0.000892
94,54580,0.16383,0.09571,0.76797,0.99641,0.99665,0.99413,0.91691,0.41719,0.1625,0.89716,0.000793,0.000793,0.000793
95,55158.7,0.16259,0.09462,0.76741,0.99775,0.998,0.99436,0.91687,0.41764,0.16239,0.89759,0.000694,0.000694,0.000694
96,55737.3,0.15964,0.09269,0.76708,0.99776,0.998,0.99434,0.91655,0.41762,0.16272,0.89797,0.000595,0.000595,0.000595
97,56316.1,0.1574,0.09119,0.76663,0.99777,0.998,0.99437,0.91699,0.41783,0.16296,0.89837,0.000496,0.000496,0.000496
98,56895.1,0.15482,0.08966,0.76578,0.99647,0.99667,0.99418,0.9161,0.41792,0.1632,0.8988,0.000397,0.000397,0.000397
99,57474,0.15267,0.08756,0.76653,0.9965,0.99669,0.99417,0.91619,0.41788,0.16335,0.89929,0.000298,0.000298,0.000298
100,58052.8,0.15141,0.08627,0.76594,0.9965,0.99668,0.99418,0.91592,0.41789,0.16285,0.8997,0.000199,0.000199,0.000199
