epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,15504.5,0.61492,0.33487,0.91428,0.95745,0.93052,0.9619,0.78621,0.81596,0.42218,1.10713,0.004258,0.004258,0.004258
60,15767.3,0.60365,0.32828,0.90941,0.94674,0.93964,0.96119,0.78458,0.81811,0.4232,1.11927,0.004159,0.004159,0.004159
61,16029.8,0.59809,0.32536,0.91087,0.94604,0.94427,0.9607,0.78476,0.81238,0.4237,1.12555,0.00406,0.00406,0.00406
62,16292.4,0.59309,0.32274,0.90647,0.945,0.94875,0.96314,0.78668,0.81286,0.42707,1.12637,0.003961,0.003961,0.003961
63,16555.2,0.59396,0.3218,0.90718,0.95277,0.94366,0.96204,0.78454,0.81531,0.42356,1.12661,0.003862,0.003862,0.003862
64,16818,0.58737,0.31655,0.9059,0.94196,0.94577,0.96033,0.78705,0.81741,0.41892,1.12666,0.003763,0.003763,0.003763
65,17081.1,0.58226,0.3156,0.90441,0.95434,0.93522,0.961,0.78472,0.81477,0.41915,1.12434,0.003664,0.003664,0.003664
66,17344,0.57717,0.31311,0.8996,0.95404,0.93306,0.96179,0.78637,0.81101,0.42014,1.12824,0.003565,0.003565,0.003565
67,17607.9,0.57043,0.3097,0.89873,0.9419,0.94072,0.95976,0.78326,0.81917,0.42259,1.13586,0.003466,0.003466,0.003466
68,17870.6,0.5701,0.31027,0.89939,0.95057,0.93475,0.96312,0.78867,0.8167,0.4214,1.13463,0.003367,0.003367,0.003367
69,18133.6,0.56499,0.30755,0.89664,0.95099,0.93653,0.9621,0.78622,0.81559,0.42082,1.13364,0.003268,0.003268,0.003268
70,18396,0.56054,0.3039,0.89755,0.95352,0.93844,0.96106,0.78596,0.81391,0.42204,1.1334,0.003169,0.003169,0.003169
71,18658.5,0.5502,0.29927,0.89303,0.94241,0.94398,0.95962,0.78379,0.80979,0.42198,1.13498,0.00307,0.00307,0.00307
72,18921.1,0.54818,0.2966,0.88852,0.95257,0.93653,0.95834,0.78462,0.81172,0.42349,1.13173,0.002971,0.002971,0.002971
73,19183.9,0.54349,0.2942,0.88896,0.9444,0.94305,0.95965,0.78918,0.81333,0.42264,1.12825,0.002872,0.002872,0.002872
74,19446.7,0.54474,0.29226,0.88958,0.94737,0.94161,0.9593,0.78985,0.81373,0.42208,1.13172,0.002773,0.002773,0.002773
75,19709.5,0.53665,0.28992,0.8847,0.94593,0.93692,0.95855,0.78931,0.81624,0.43178,1.136,0.002674,0.002674,0.002674
76,19972.1,0.53591,0.29043,0.88773,0.94884,0.9359,0.95934,0.79059,0.81445,0.43244,1.13399,0.002575,0.002575,0.002575
77,20235,0.5244,0.28405,0.88044,0.94758,0.93744,0.95992,0.79062,0.81517,0.43277,1.1367,0.002476,0.002476,0.002476
78,20497.7,0.51874,0.28119,0.87915,0.95006,0.93532,0.95897,0.7875,0.81665,0.42779,1.14555,0.002377,0.002377,0.002377
79,20760.4,0.51156,0.27553,0.87836,0.94915,0.93497,0.95792,0.78682,0.81524,0.43013,1.14475,0.002278,0.002278,0.002278
80,21023,0.512,0.27726,0.87655,0.94505,0.93964,0.95831,0.78777,0.81624,0.42634,1.14516,0.002179,0.002179,0.002179
81,21286.7,0.51153,0.27506,0.87898,0.94607,0.93907,0.95924,0.78914,0.81829,0.42422,1.14562,0.00208,0.00208,0.00208
82,21549,0.50161,0.27239,0.87239,0.94157,0.94478,0.96011,0.78926,0.81871,0.42183,1.14234,0.001981,0.001981,0.001981
83,21811.7,0.50124,0.27306,0.87326,0.95275,0.93167,0.95892,0.78874,0.81917,0.42707,1.14359,0.001882,0.001882,0.001882
84,22074.1,0.48925,0.26516,0.87129,0.94015,0.94382,0.95854,0.78866,0.82281,0.43128,1.15117,0.001783,0.001783,0.001783
85,22336.6,0.49035,0.26478,0.86947,0.9397,0.94289,0.95888,0.7891,0.82218,0.43053,1.14944,0.001684,0.001684,0.001684
86,22598.9,0.48109,0.2591,0.86882,0.94193,0.93847,0.95807,0.78959,0.82015,0.43118,1.14802,0.001585,0.001585,0.001585
87,22861.3,0.48563,0.26225,0.86988,0.94766,0.93217,0.95712,0.7893,0.81933,0.43579,1.14499,0.001486,0.001486,0.001486
88,23123.6,0.47335,0.25704,0.86436,0.94056,0.94012,0.95737,0.79059,0.81967,0.43767,1.1436,0.001387,0.001387,0.001387
89,23386,0.47079,0.25563,0.86715,0.94091,0.93973,0.95685,0.79015,0.81914,0.43621,1.1442,0.001288,0.001288,0.001288
90,23648.4,0.46748,0.25267,0.86504,0.9377,0.94477,0.95666,0.78777,0.82073,0.44135,1.14587,0.001189,0.001189,0.001189
91,23911.3,0.41108,0.21725,0.85034,0.94085,0.94456,0.95703,0.78846,0.8203,0.43779,1.14633,0.00109,0.00109,0.00109
92,24173.6,0.4011,0.21171,0.84502,0.94217,0.94268,0.95695,0.78895,0.82105,0.43441,1.14778,0.000991,0.000991,0.000991
93,24435.7,0.39739,0.21065,0.84512,0.93964,0.94476,0.9575,0.78909,0.82199,0.43221,1.15096,0.000892,0.000892,0.000892
94,24697.8,0.39262,0.20884,0.84258,0.94135,0.94316,0.95632,0.78838,0.82115,0.43334,1.15221,0.000793,0.000793,0.000793
95,24961,0.38423,0.20437,0.8428,0.93887,0.94468,0.95696,0.78932,0.82216,0.43083,1.15505,0.000694,0.000694,0.000694
96,25222.6,0.37546,0.20065,0.84034,0.93867,0.94485,0.95619,0.78924,0.82289,0.43132,1.15737,0.000595,0.000595,0.000595
97,25484.5,0.37485,0.20141,0.83817,0.93978,0.94402,0.95546,0.78702,0.82299,0.43223,1.15937,0.000496,0.000496,0.000496
98,25746.4,0.36687,0.19625,0.83567,0.93796,0.94585,0.95531,0.78788,0.82367,0.43202,1.16205,0.000397,0.000397,0.000397
99,26008.2,0.36292,0.19427,0.83606,0.93819,0.94621,0.95537,0.78798,0.8242,0.43207,1.1646,0.000298,0.000298,0.000298
100,26269.5,0.35969,0.19057,0.8346,0.93795,0.94661,0.9551,0.7879,0.82416,0.43187,1.16581,0.000199,0.000199,0.000199
